Taluka,District,Application Received,Application Approved,Application Rejected,Application Under Scrutiny,Application Tirth Yojana Completed
Not Applicable,Mumbai City,550,500,50,0,150
Not Applicable,Mumbai Suburban,650,396,254,0,250
Not Applicable,Thane,764,600,164,0,359
Not Applicable,Palghar,819,618,201,0,0
Not Applicable,Raigad,409,315,94,0,0
Not Applicable,Ratnagiri,984,865,119,0,751
Not Applicable,Singhudurg,410,362,48,0,0
Not Applicable,Nashik,2693,2265,428,0,623
Not Applicable,Dhule,3870,2645,1225,0,694
Not Applicable,Nandurbar,1431,1000,431,0,462
Not Applicable,Jalgaon,1252,1178,74,0,750
Not Applicable,Ahilyanagar,3075,722,988,1365,722
Not Applicable,Pune,1852,1674,178,0,608
Not Applicable,Satara,1225,733,492,0,0
Not Applicable,Sangali,2643,1582,1061,0,0
Not Applicable,Solapur,1454,960,281,213,715
Not Applicable,Kolhapur,2692,790,1902,0,790
Not Applicable,Amravati,1750,1668,82,0,0
Not Applicable,Buldhana,1083,793,290,0,596
Not Applicable,Akola,3553,3006,547,0,690
Not Applicable,Washim,1329,887,442,0,0
Not Applicable,Yavatmal,1190,1147,43,0,570
Not Applicable,Wardha,4169,4156,13,0,740
Not Applicable,Bhandara,2982,2088,894,0,973
Not Applicable,Chandrapur,4473,2037,587,1849,792
Not Applicable,Gondia,1646,1328,318,0,0
Not Applicable,Nagpur,5230,3171,2059,0,778
Not Applicable,Gadchiroli,1120,1000,120,0,728
Not Applicable,Chatrapati Sambhaji Nagar,2527,1485,520,522,732
Not Applicable,Jalna,5722,2039,3683,0,583
Not Applicable,Beed,2363,1600,52,711,0
Not Applicable,Parbhani,1473,1083,390,0,0
Not Applicable,Latur,928,918,10,0,751
Not Applicable,Nanded,4161,3346,815,0,559
Not Applicable,Hingoli,1790,1012,778,0,631
Not Applicable,Dharashiv,2102,1953,149,0,690
